url,timestamp_of_change
https://www.whitehouse.gov/the-press-office/2017/01/30/statement-appointment-dana-boente-acting-attorney-general,20170208052026
https://www.whitehouse.gov/the-press-office/2017/02/03/presidential-memorandum-fiduciary-duty-rule,20170208033438
https://www.whitehouse.gov/featured-videos/video/2017/02/01/swearing-secretary-state-rex-tillerson,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/30/budgetary-impact-analysis-executive-order-entitled-ethics-commitments,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/25/omb-memorandum-immediate-actions-and-initial-guidance-federal-civilian,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/presidential-actions/related-omb-material/memorandum,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos/video/2017/02/03/2317-white-house-press-briefing,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/January/20170120_The_Inauguration_of_the_45th_President_of_the_United_States.mp3,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/Administration/People/MichelleObama_and_Bo.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos/video/2017/01/28/weekly-address,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/1600/eeob,20170207231211
https://www.whitehouse.gov/trade-deals-working-all-americans,20170207224407
https://www.whitehouse.gov/videos/2017/January/20170130_Press_Briefing_HD.mp4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/statements-and-releases,20170207224021
https://www.whitehouse.gov/,20170208134627
https://www.whitehouse.gov/copyright,20170207232530
https://www.whitehouse.gov/1600/executive-branch,20170207231349
https://www.whitehouse.gov/the-press-office/2017/02/02/remarks-president-trump-meeting-harley-davidson-executives-and-union,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/01/statement-administration-policy,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/1600/judicial-branch,20170207231456
https://www.whitehouse.gov/featured-videos/video/2017/02/01/2117-white-house-press-briefing,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/24/presidential-memorandum-regarding-construction-american-pipelines,20170207195849
https://www.whitehouse.gov/1600/legislative-branch,20170207231423
https://www.whitehouse.gov/briefing-room/statements-and-releases?term_node_tid_depth=41&page=4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/briefing-room/presidential-actions/related-omb-material/eo_iterim_guidance_reducing_regulations_controlling_regulatory_costs.pdf,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/blog,20170207223051
https://www.whitehouse.gov/america-first-foreign-policy,20170207224233
https://obamawhitehouse.archives.gov/blog/2011/12/02/president-obama-announces-4-billion-investment-make-buildings-more-energy-efficient,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/01/vice-president-mike-pence-announces-jarrod-agen-director-communications,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/31/remarks-vice-president-pence-delivered-swearing-ceremony-transportation,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/February/20170201_POTUS_Swearing_In_Tillerson.mp3,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/presidential-actions?term_node_tid_depth=46,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/07/budgetary-impact-analysis-executive-order-entitled-core-principles,20170207212111
https://www.whitehouse.gov/sites/whitehouse.gov/files/briefing-room/presidential-actions/related-omb-material/budgetary_impact_analysis_eo_core_principles_regulating_us_financial_sys.pdf,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/blog/2012/02/29/making-medicare-stronger,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/speeches-and-remarks?term_node_tid_depth=31,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_css/css__7OFuHD9Wj4uPqfAZnoU5kUMMCbaVJa10cw0_ZYqDLdg__F5oCUsauurUENdO2lnmlkxBNRmHMcU9kY2qHjwdf6MM__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.css,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/31/president-donald-j-trump-announces-intent-nominate-senior-justice,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/statements-administration-policy,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/Administration/People/first_lady_portrait_2013_lores.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/presidential-actions,20170207224043
https://www.whitehouse.gov/participate/fellows,20170207230313
https://www.whitehouse.gov/sites/whitehouse.gov/files/docs/budgetary_impact_analysis_eo_ethics_commitments_executive_branch_appointees.pdf,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/25_william_mckinley.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/presidential-actions/presidential-memoranda?term_node_tid_depth=56&page=1,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/1600/federal-agencies-and-commissions,20170207231601
