date_scraped,time_scraped,url
2017-02-14,14:45:38,https://www.whitehouse.gov/support-americans-back-to-work
2017-02-14,14:45:38,https://www.whitehouse.gov/1600/Presidents
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/first-ladies
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/vp-residence
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/eeob
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/camp-david
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/air-force-one
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/executive-branch
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/legislative-branch
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/judicial-branch
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/constitution
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/federal-agencies-and-commissions
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/elections-and-voting
2017-02-14,14:45:39,https://www.whitehouse.gov/1600/state-and-local-government
2017-02-14,14:45:39,https://www.whitehouse.gov/sites/whitehouse.gov/files/hero-backgrounds/DJT-Bio-Header%20%282%29.jpg
2017-02-14,14:45:39,https://www.whitehouse.gov/live/inauguration-45th-president-united-states
2017-02-14,14:45:39,https://www.whitehouse.gov/privacy
2017-02-14,14:45:39,https://www.whitehouse.gov/copyright
2017-02-14,14:45:39,https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__Iet5d_4HeaB9Z08fg6RWdeORbzHlLKLVUN2d-B34fxs__9w5LOQcUjwHnWIRHIDuF4ofk1_wmbBRcNaREYSRRuyA__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js
2017-02-14,14:45:39,https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__MNsce95EE2U1MGfEe9Z4LrJrncsufjhwI_7uPPeDh_k__UmmmJeJUAhRosK-zb14YY_acPEEa-8yzFhRknDoZbYg__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js
2017-02-14,14:45:39,https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__d6fIDVjGeSjn4cGfpXV0L2K2xmwd_rhrT8TX7HVfNSQ__KNDIL8lJ-Ccwi_UNmLFErhBWqLOJSJbKRoULyKVr1rI__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js
2017-02-14,14:45:39,https://www.whitehouse.gov/sites/whitehouse.gov/files/45/POTUS_45header.jpeg
2017-02-14,14:45:39,https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__Gw_M48N_E202_rzXKCs9cJs7Srl7QPVLESBmBOvDT88__VhPNoiKDI_ZkMAikh_VczBNY9zWgednjzr8cR1Cg_xk__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js
2017-02-14,14:45:39,https://www.whitehouse.gov/feed/blog/white-house
2017-02-14,14:45:39,https://www.whitehouse.gov/the-press-office/2017/02/13/president-donald-j-trump-names-lt-general-joseph-keith-kellogg-jr-acting
2017-02-14,14:45:39,https://www.whitehouse.gov/the-press-office/2017/02/13/remarks-president-trump-swearing-ceremony-treasury-secretary-mnuchin
2017-02-14,14:45:40,https://www.whitehouse.gov/the-press-office/2017/02/13/second-lady-karen-pence-receives-courage-award
2017-02-14,14:45:40,https://www.whitehouse.gov/the-press-office/2017/02/13/readout-vice-presidents-call-president-michel-temer-brazil
2017-02-14,14:45:40,https://www.whitehouse.gov/the-press-office/2017/02/13/readout-presidents-call-president-juan-manuel-santos-colombia
2017-02-14,14:45:40,https://www.whitehouse.gov/the-press-office/2017/02/13/budgetary-impact-analysis-executive-order-entitled-providing-order
2017-02-14,14:45:40,https://www.whitehouse.gov/the-press-office/2017/02/13/budgetary-impact-analysis-executive-order-entitled-task-force-crime
2017-02-14,14:45:40,https://www.whitehouse.gov/the-press-office/2017/02/13/budgetary-impact-analysis-executive-order-entitled-enforcing-federal-law
2017-02-14,14:45:40,https://www.whitehouse.gov/the-press-office/2017/02/13/budgetary-impact-analysis-executive-order-entitled-preventing-violence
2017-02-14,14:45:40,https://www.whitehouse.gov/the-press-office/2017/02/13/remarks-president-trump-and-prime-minister-trudeau-canada-joint-press
2017-02-14,14:45:40,https://www.whitehouse.gov/blog?page=1
2017-02-14,14:45:40,https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__H7GW3hU42F-C9wAy7FViGYOje5qkQXVlrEkljB4GbzU___wUh6cXVarf9_HThTLXEPPyb6KO4cCNsq6row2BjD0I__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js
2017-02-14,14:45:40,https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__Iim1AbJnxH3rRatJnOUIol7sNLvE4qpx4Tw1i-5inNg__PKAyehXfKMD313dQeX4wrEOnHtAr3I0F2vnbRDqpyWE__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js
2017-02-14,14:45:40,https://www.whitehouse.gov/sites/whitehouse.gov/files/featured-videos.gif
2017-02-14,14:45:40,https://www.whitehouse.gov/featured-videos/video/2017/02/14/parent-teacher-conference-listening-session
2017-02-14,14:45:40,https://www.whitehouse.gov/featured-videos/video/2017/02/13/president-trump-and-prime-minister-trudeau
2017-02-14,14:45:40,https://www.whitehouse.gov/featured-videos/video/2017/02/13/president-trump-participates-roundtable
2017-02-14,14:45:40,https://www.whitehouse.gov/featured-videos/video/2017/02/13/swearing-ceremony-secretary-treasury
2017-02-14,14:45:40,https://www.whitehouse.gov/featured-videos/video/2017/02/11/joint-statment-president-trump-and-prime-minister-shinz%C5%8D-abe
2017-02-14,14:45:41,https://www.whitehouse.gov/featured-videos/video/2017/02/10/swearing-hhs-secretary-dr-tom-price
2017-02-14,14:45:41,https://www.whitehouse.gov/featured-videos/video/2017/02/10/president-trump-and-prime-minister-shinz%C5%8D-abe
2017-02-14,14:45:41,https://www.whitehouse.gov/featured-videos/video/2017/02/10/weekly-address
2017-02-14,14:45:41,https://www.whitehouse.gov/featured-videos/video/2017/02/09/president-trump-participates-swearing-attorney-general-jeff
2017-02-14,14:45:41,https://www.whitehouse.gov/featured-videos/video/2017/02/09/2917-white-house-press-briefing
2017-02-14,14:45:41,https://www.whitehouse.gov/featured-videos?topic=All&year[value]&page=1
2017-02-14,14:45:41,https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__arugWQ1zd1R6dS447fkp-oYCDi_OuxyX6Lrn71YGpWM__c1PwX5SS0CcVPrMD1fEmwsFddmS68ylxSpq78WUfYBM__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js
2017-02-14,14:45:41,https://www.whitehouse.gov/the-press-office/2017/02/14/remarks-president-trump-parent-teacher-conference-listening-session
2017-02-14,14:45:41,https://www.whitehouse.gov/the-press-office/2017/02/13/remarks-president-trump-and-prime-minister-trudeau-canada-roundtable
2017-02-14,14:45:41,https://www.whitehouse.gov/the-press-office/2017/02/10/president-trumps-weekly-address
2017-02-14,14:45:41,https://www.whitehouse.gov/the-press-office/2017/02/10/remarks-president-trump-and-prime-minister-abe-japan-joint-press
2017-02-14,14:45:42,https://www.whitehouse.gov/the-press-office/2017/02/10/remarks-vice-president-swearing-ceremony-secretary-price
